Footprint 	Comment 	Designator	MidX 	MidY 	TB 	Rotation 
0603	510	R43 	1908.819 	2519.685 	T 	180.00 
0603	510	R42 	1908.819 	2598.425 	T 	180.00 
0603	510	R41 	1908.819 	2677.165 	T 	180.00 
0603	510	R16 	1908.819 	4429.134 	T 	180.00 
0603	510	R15 	1908.819 	4507.874 	T 	180.00 
0603	510	R14 	1908.819 	4586.614 	T 	180.00 
0603	510	R13 	1908.819 	4665.354 	T 	180.00 
0603	510	R12 	1908.819 	4744.095 	T 	180.00 
0603	510	R11 	1908.819 	4822.835 	T 	180.00 
0603	510	R10 	1908.819 	4901.575 	T 	180.00 
0603	510	R9 	1908.819 	4980.315 	T 	180.00 
0603	510	R47 	1918.819 	2204.724 	T 	180.00 
0603	510	R55 	2066.299 	2216.535 	T 	360.00 
0603	510	R54 	2066.299 	2271.654 	T 	180.00 
0603	510	R51 	2066.299 	2531.496 	T 	360.00 
0603	510	R50 	2066.299 	2586.614 	T 	180.00 
0603	510	R23 	2066.299 	4519.685 	T 	360.00 
0603	510	R22 	2066.299 	4574.803 	T 	180.00 
0603	510	R19 	2066.299 	4834.646 	T 	360.00 
0603	510	R18 	2066.299 	4889.764 	T 	180.00 
0603	510	R56 	2087.244 	2125.984 	T 	180.00 
0603	510	R53 	2087.244 	2362.205 	T 	360.00 
0603	510	R52 	2087.244 	2440.945 	T 	180.00 
0603	510	R49 	2087.244 	2677.165 	T 	360.00 
0603	510	R24 	2087.244 	4429.134 	T 	180.00 
0603	510	R21 	2087.244 	4665.354 	T 	360.00 
0603	510	R20 	2087.244 	4744.095 	T 	180.00 
0603	510	R17 	2087.244 	4980.315 	T 	360.00 
0603	10k 	R65 	2341.89 	3771.653 	T 	180.00 
0603	R 	R71 	1673.228 	3130.551 	T 	90.00 
0603	R 	R70 	1673.228 	5099.055 	T 	90.00 
0805	0.47uF 	C73 	1741.339 	3700.787 	T 	180.00 
0805	240	R68 	1741.339 	3799.213 	T 	180.00 
0805	2k 	R67 	1515.748 	3553.937 	T 	90.00 
0805	3k 	R66 	1811.024 	3376.772 	T 	90.00 
0805	5k6 	R69 	1614.173 	3750.787 	T 	90.00 
CP-24-14 	AD4932-2	U4 	2273.622 	2244.095 	T 	360.00 
CP-24-14 	AD4932-2	U3 	2273.622 	2559.055 	T 	360.00 
CP-24-14 	AD4932-2 	U2 	2273.622 	4547.244 	T 	360.00 
CP-24-14 	AD4932-2 	U1 	2273.622 	4862.205 	T 	360.00 
CP-64-6 	AD9212 	U7 	2765.748 	3545.275 	T 	90.00 
SOIC8-150	AD8602 	U8 	1657.284 	3433.307 	T 	270.00 
